model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,battery_capacity_kwh
TO-MIP,0.01,-130.57668140177157,0.1944895830238238,4426.066481994459,3995.95,131.01475409836064,15.080688423185626,8.882264602776889,2258,2044,3593,0.5,138.70578286,-269.28246426177157,269.28246426177157,31.0
BO-MIP,0.01,-134.12175672254727,0.5374935830477625,4454.925207756231,4021.995,116.5795652173913,17.262953927371623,10.027333317770038,2271,2052,3572,0.5,138.70578286,-272.8275395825473,272.8275395825473,35.0
TO-MIP,0.01,-134.12175672254727,0.19938900001579896,4454.925207756231,4021.995,116.5795652173913,17.262953927371623,10.027333317770038,2271,2052,3572,0.5,138.70578286,-272.8275395825473,272.8275395825473,35.0
BO-MIP,0.01,-136.29675103819812,0.5388513340149075,4488.232686980608,4052.0549999999994,108.05479999999999,18.834401829040686,10.972589245403492,2280,2064,3551,0.5,138.70578286,-275.0025338981981,275.0025338981981,38.0
TO-MIP,0.01,-136.29675103819812,0.19586808304302394,4488.232686980608,4052.0549999999994,108.05479999999999,18.834401829040686,10.972589245403492,2280,2064,3551,0.5,138.70578286,-275.0025338981981,275.0025338981981,38.0
BO-MIP,0.01,-137.8707260273946,0.537544708000496,4503.229916897506,4065.5899999999992,101.63974999999998,20.15050325281288,11.700194971454778,2288,2064,3543,0.5,138.70578286,-276.5765088873946,276.5765088873946,40.5
TO-MIP,0.01,-137.8707260273946,0.19494170899270102,4503.229916897506,4065.5899999999992,101.63974999999998,20.1508125366608,11.700221182740481,2288,2064,3543,0.5,138.70578286,-276.5765088873946,276.5765088873946,40.5
BO-MIP,0.01,-144.6484817103584,0.5446644589537755,4531.324099722991,4090.944999999998,76.46626168224294,27.519442889137732,15.703398584155284,2294,2073,3528,0.5,138.70578286,-283.3542645703584,283.3542645703584,54.0
TO-MIP,0.01,-144.6484817103584,0.19606816599844024,4531.324099722991,4090.944999999998,76.46626168224294,27.51975217298565,15.70353888154164,2294,2073,3528,0.5,138.70578286,-283.3542645703584,283.3542645703584,54.0
BO-MIP,0.01,-153.35360061769876,0.5689504579640925,4624.332409972298,4174.884999999998,51.86192546583849,42.208828587426005,23.6452794264129,2330,2104,3461,0.5,138.70578286,-292.05938347769876,292.05938347769876,81.0
TO-MIP,0.01,-153.35360061769876,0.19559608300914988,4624.332409972298,4174.884999999998,51.86192546583849,42.208828587426005,23.6452794264129,2330,2104,3461,0.5,138.70578286,-292.05938347769876,292.05938347769876,81.0
BO-MIP,0.01,-158.17672271659092,0.5895298750256188,4620.775623268696,4171.675,38.80627906976744,55.11277928864713,31.319192288714916,2326,2097,3472,0.5,138.70578286,-296.8825055765909,296.8825055765909,108.0
TO-MIP,0.01,-158.17672271659092,0.19720150000648573,4620.775623268696,4171.675,38.80627906976744,55.11058230683089,31.31866831738782,2326,2097,3472,0.5,138.70578286,-296.8825055765909,296.8825055765909,108.0
BO-MIP,0.01,-160.25684007628638,0.5883114160387777,4613.922437673127,4165.490000000001,32.16594594594595,65.01811843438381,37.13437251126273,2322,2090,3483,0.5,138.70578286,-298.9626229362864,298.9626229362864,130.0
TO-MIP,0.01,-160.25684007628638,0.19684633403085172,4613.922437673127,4165.490000000001,32.16594594594595,65.01811843438381,37.13437251126273,2322,2090,3483,0.5,138.70578286,-298.9626229362864,298.9626229362864,130.0
