model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,battery_capacity_kwh
BO-MIP,0.01,12.513044916924912,0.5684241250273772,1993.9335180055402,1800.95,400.2111111111111,2.3430464459019893,1.9568862557942825,1276,1178,5441,0.5,138.70578286,-126.19273794307509,126.19273794307509,5.0
TO-MIP,0.01,12.513044916924912,0.19769058300880715,1993.9335180055402,1800.95,400.2111111111111,2.3432717431877568,1.9570424831113242,1276,1178,5441,0.5,138.70578286,-126.19273794307509,126.19273794307509,5.0
BO-MIP,0.01,-31.04805541493033,0.524782459018752,2766.5207756232685,2498.21,356.88714285714286,3.4483455980376476,2.794911698864896,1537,1412,4946,0.5,138.70578286,-169.75383827493033,169.75383827493033,7.5
TO-MIP,0.01,-31.04805541493033,0.19823691697092727,2766.5207756232685,2498.21,356.88714285714286,3.4483455980376476,2.794911698864896,1537,1412,4946,0.5,138.70578286,-169.75383827493033,169.75383827493033,7.5
BO-MIP,0.01,-62.788821618808356,0.5287676670122892,3294.8254847645426,2975.005,313.1584210526316,4.623418253079508,3.5088455440729502,1724,1587,4584,0.5,138.70578286,-201.49460447880836,201.49460447880836,10.0
TO-MIP,0.01,-62.788821618808356,0.19478062499547377,3294.8254847645426,2975.005,313.1584210526316,4.622611715458859,3.508364233347137,1724,1587,4584,0.5,138.70578286,-201.49460447880836,201.49460447880836,10.0
BO-MIP,0.01,-92.57766351603777,0.5290958330151625,3814.121883656509,3443.6700000000005,264.89769230769235,6.307218178424786,4.3693815116242005,1991,1850,4054,0.5,138.70578286,-231.28344637603777,231.28344637603777,13.5
TO-MIP,0.01,-92.57766351603777,0.2000623750500381,3814.121883656509,3443.6700000000005,264.89769230769235,6.308156694928812,4.368919100986741,1991,1850,4054,0.5,138.70578286,-231.28344637603777,231.28344637603777,13.5
BO-MIP,0.01,-100.51979485412662,0.5288976250449196,3974.7645429362874,3588.6500000000005,247.4931034482759,7.016736655468459,4.71218754225409,2083,1853,3959,0.5,138.70578286,-239.22557771412662,239.22557771412662,15.0
TO-MIP,0.01,-100.51979485412662,0.19760816701455042,3974.7645429362874,3588.6500000000005,247.4931034482759,7.017759825094652,4.711481270349007,2083,1853,3959,0.5,138.70578286,-239.22557771412662,239.22557771412662,15.0
BO-MIP,0.01,-115.94159107794906,0.5307166250422597,4233.412742382271,3822.0800000000004,196.0041025641026,9.447142457206848,5.91615348607018,2181,1987,3727,0.5,138.70578286,-254.64737393794906,254.64737393794906,20.0
TO-MIP,0.01,-115.94159107794906,0.19596204196568578,4233.412742382271,3822.0800000000004,196.0041025641026,9.446461232869408,5.914538758723847,2181,1987,3727,0.5,138.70578286,-254.64737393794906,254.64737393794906,20.0
BO-MIP,0.01,-121.78829862919514,0.5310985420364887,4319.4293628808855,3899.7100000000005,169.5526086956522,11.26952887537994,6.837286349865878,2217,2011,3667,0.5,138.70578286,-260.49408148919514,260.49408148919514,23.5
TO-MIP,0.01,-121.78829862919514,0.20206133398460224,4319.4293628808855,3899.7100000000005,169.5526086956522,11.26997147123127,6.836833403419892,2217,2011,3667,0.5,138.70578286,-260.49408148919514,260.49408148919514,23.5
BO-MIP,0.01,-126.32127512310109,0.5340626660035923,4378.321329639888,3952.86,149.1645283018868,13.022885671625874,7.791014951122228,2230,2032,3633,0.5,138.70578286,-265.0270579831011,265.0270579831011,27.0
TO-MIP,0.01,-126.32127512310109,0.1957748749991879,4378.321329639888,3952.86,149.1645283018868,13.019402228976698,7.79078047958533,2230,2032,3633,0.5,138.70578286,-265.0270579831011,265.0270579831011,27.0
BO-MIP,0.01,-130.57668140177157,0.5359323329757899,4426.066481994459,3995.95,131.01475409836064,15.080688423185626,8.882264602776889,2258,2044,3593,0.5,138.70578286,-269.28246426177157,269.28246426177157,31.0
