model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,battery_capacity_kwh
TO-MIP,0.04,37.29870928216057,1.4871254169847816,2022.6869806094178,1826.9,68.93962264150943,12.702031674932012,8.258398072987546,1029,938,5928,0.5,138.70578286,-101.40707357783943,101.40707357783943,27.0
BO-MIP,0.04,35.0334629730193,0.5602437920169905,2050.6371191135727,1852.125,60.72540983606557,14.663001253132833,9.359330753893326,1043,949,5903,0.5,138.70578286,-103.6723198869807,103.6723198869807,31.0
TO-MIP,0.04,35.0334629730193,1.4746892499970272,2050.6371191135727,1852.125,60.72540983606557,14.663001253132833,9.359330753893326,1043,949,5903,0.5,138.70578286,-103.6723198869807,103.6723198869807,31.0
BO-MIP,0.04,33.179949146842006,0.5619052909896709,2077.4903047091407,1876.36,54.38724637681159,16.65406668266411,10.540508702372776,1051,959,5885,0.5,138.70578286,-105.525833713158,105.525833713158,35.0
TO-MIP,0.04,33.179949146842006,1.489126041997224,2077.4903047091407,1876.36,54.38724637681159,16.65406668266411,10.540508702372776,1051,959,5885,0.5,138.70578286,-105.525833713158,105.525833713158,35.0
BO-MIP,0.04,31.976960523850295,0.5630556659889407,2080.4986149584483,1879.0749999999996,50.10866666666666,18.135822934997066,11.484550151421221,1054,956,5885,0.5,138.70578286,-106.7288223361497,106.7288223361497,38.0
TO-MIP,0.04,31.976960523850295,1.485337707970757,2080.4986149584483,1879.0749999999996,50.10866666666666,18.135822934997066,11.484550151421221,1054,956,5885,0.5,138.70578286,-106.7288223361497,106.7288223361497,38.0
BO-MIP,0.04,31.028953863878,0.5712829579715617,2094.537396121883,1891.7449999999994,47.293624999999984,19.33055111182211,12.31817767204277,1061,961,5873,0.5,138.70578286,-107.676828996122,107.676828996122,40.5
TO-MIP,0.04,31.028953863878,1.4763238329906017,2094.537396121883,1891.7449999999994,47.293624999999984,19.330487788620488,12.318127701353257,1061,961,5873,0.5,138.70578286,-107.676828996122,107.676828996122,40.5
BO-MIP,0.04,26.980923304182795,0.5882589579559863,2142.465373961218,1934.9999999999986,36.16822429906539,26.448433583959908,16.274741327951624,1080,978,5837,0.5,138.70578286,-111.7248595558172,111.7248595558172,54.0
TO-MIP,0.04,26.980923304182795,1.4806920840055682,2142.465373961218,1934.9999999999986,36.16822429906539,26.448433583959908,16.274741327951624,1080,978,5837,0.5,138.70578286,-111.7248595558172,111.7248595558172,54.0
BO-MIP,0.04,21.382875688254728,0.608386458014138,2195.7506925207745,1983.0899999999988,24.634658385093154,38.90349144136938,24.328875170359805,1103,1001,5791,0.5,138.70578286,-117.32290717174527,117.32290717174527,81.0
TO-MIP,0.04,21.382875688254728,1.4747422499931417,2195.7506925207745,1983.0899999999988,24.634658385093154,38.92710233029381,24.316302278286905,1103,1001,5791,0.5,138.70578286,-117.32290717174527,117.32290717174527,81.0
BO-MIP,0.04,18.07542418313004,0.6241089999675751,2257.3573407202202,2038.69,18.964558139534883,51.03852316962618,32.98801005824376,1131,1027,5737,0.5,138.70578286,-120.63035867686996,120.63035867686996,108.0
TO-MIP,0.04,18.07542418313004,1.4748937499825843,2257.3573407202202,2038.69,18.964558139534883,51.03852316962618,32.98801005824376,1131,1027,5737,0.5,138.70578286,-120.63035867686996,120.63035867686996,108.0
BO-MIP,0.04,16.53589330293613,0.6371163330040872,2276.415512465372,2055.89,15.875598455598455,62.24910147709695,38.41843119728468,1142,1034,5719,0.5,138.70578286,-122.16988955706387,122.16988955706387,130.0
TO-MIP,0.04,16.53589330293613,1.4803846669965424,2276.415512465372,2055.89,15.875598455598455,62.24910147709695,38.41843119728468,1142,1034,5719,0.5,138.70578286,-122.16988955706387,122.16988955706387,130.0
