model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,battery_capacity_kwh
BO-MIP,0.04,83.63240386678672,0.5323709169751965,856.831024930748,774.715,172.1588888888889,2.4337206047032476,1.972261507460217,546,516,6833,0.5,138.70578286,-55.07337899321328,55.07337899321328,5.0
TO-MIP,0.04,83.63240386678672,1.4832901670015417,856.831024930748,774.715,172.1588888888889,2.4337839279048685,1.9724302834312148,546,516,6833,0.5,138.70578286,-55.07337899321328,55.07337899321328,5.0
BO-MIP,0.04,68.14770749864267,0.5397142499568872,1214.1495844875346,1097.1950000000002,156.74214285714288,3.5588052578254143,2.8368832332684066,669,635,6591,0.5,138.70578286,-70.55807536135733,70.55807536135733,7.5
TO-MIP,0.04,68.14770749864267,1.505566790990997,1214.1495844875346,1097.1950000000002,156.74214285714288,3.5588052578254143,2.8368832332684066,669,635,6591,0.5,138.70578286,-70.55807536135733,70.55807536135733,7.5
BO-MIP,0.04,58.40261523451515,0.5359497500467114,1490.1329639889195,1346.2700000000002,141.7126315789474,4.749442089265718,3.6493209320795295,771,732,6392,0.5,138.70578286,-80.30316762548485,80.30316762548485,10.0
TO-MIP,0.04,58.40261523451515,1.4765734579996206,1490.1329639889195,1346.2700000000002,141.7126315789474,4.749442089265718,3.6493209320795295,771,732,6392,0.5,138.70578286,-80.30316762548485,80.30316762548485,10.0
BO-MIP,0.04,50.349474740055314,0.5408663330017589,1758.1052631578946,1588.1150000000002,122.16269230769232,6.412006745587373,4.746396144092884,915,857,6123,0.5,138.70578286,-88.35630811994469,88.35630811994469,13.5
TO-MIP,0.04,50.349474740055314,1.50543308298802,1758.1052631578946,1588.1150000000002,122.16269230769232,6.412006745587373,4.746396144092884,915,857,6123,0.5,138.70578286,-88.35630811994469,88.35630811994469,13.5
BO-MIP,0.04,48.060537438670295,0.540137792006135,1822.6481994459832,1646.3650000000002,113.54241379310346,7.130285820935318,5.1449834433554855,948,861,6086,0.5,138.70578286,-90.6452454213297,90.6452454213297,15.0
TO-MIP,0.04,48.060537438670295,1.5087140839896165,1822.6481994459832,1646.3650000000002,113.54241379310346,7.130327147656375,5.145021422048462,948,861,6086,0.5,138.70578286,-90.6452454213297,90.6452454213297,15.0
BO-MIP,0.04,42.558910310553856,0.5467490830342285,1940.8864265927975,1753.0750000000003,89.90128205128207,9.41603276809044,6.478753704808292,996,914,5985,0.5,138.70578286,-96.14687254944614,96.14687254944614,20.0
TO-MIP,0.04,42.558910310553856,1.4809317500330508,1940.8864265927975,1753.0750000000003,89.90128205128207,9.41603276809044,6.478753704808292,996,914,5985,0.5,138.70578286,-96.14687254944614,96.14687254944614,20.0
BO-MIP,0.04,39.676109479251934,0.5415069169830531,1985.019390581717,1792.9050000000002,77.95239130434784,10.998904175331948,7.345400500009156,1016,924,5955,0.5,138.70578286,-99.02967338074806,99.02967338074806,23.5
TO-MIP,0.04,39.676109479251934,1.4753767090151086,1985.019390581717,1792.9050000000002,77.95239130434784,10.998904175331948,7.345400500009156,1016,924,5955,0.5,138.70578286,-99.02967338074806,99.02967338074806,23.5
BO-MIP,0.04,37.29870928216057,0.5533342499984428,2022.6869806094178,1826.9,68.93962264150943,12.702031674932012,8.258398072987546,1029,938,5928,0.5,138.70578286,-101.40707357783943,101.40707357783943,27.0
