model,grid_fee,solver_objective,solve_time_sec,total_charge_kwh,total_discharge_kwh,equivalent_cycles,avg_soc,soc_std,charge_periods,discharge_periods,idle_periods,final_soc,baseline_cost,battery_term,battery_value,battery_capacity_kwh
BO-MIP,0.02,43.40102603534625,0.5288179159979336,1325.3462603878118,1197.55,266.1222222222222,2.383607956060364,1.9926340285054616,849,780,6266,0.5,138.70578286,-95.30475682465375,95.30475682465375,5.0
TO-MIP,0.02,43.40102603534625,1.4823810419766232,1325.3462603878118,1197.55,266.1222222222222,2.384089212392684,1.9926065290922093,849,780,6266,0.5,138.70578286,-95.30475682465375,95.30475682465375,5.0
BO-MIP,0.02,11.655183169418336,0.5296710409456864,1840.2936288088642,1662.2900000000002,237.47000000000003,3.4833933237348695,2.849000973550807,1019,956,5920,0.5,138.70578286,-127.05059969058166,127.05059969058166,7.5
TO-MIP,0.02,11.655183169418336,1.4792083750362508,1840.2936288088642,1662.2900000000002,237.47000000000003,3.485373006985549,2.8482951683600586,1019,956,5920,0.5,138.70578286,-127.05059969058166,127.05059969058166,7.5
BO-MIP,0.02,-11.138607091384955,0.5292931669973768,2259.684210526316,2040.7900000000002,214.82000000000002,4.673572228443449,3.6470596878418196,1171,1105,5619,0.5,138.70578286,-149.84438995138495,149.84438995138495,10.0
TO-MIP,0.02,-11.138607091384955,1.4758947090012953,2259.684210526316,2040.7900000000002,214.82000000000002,4.673266277395617,3.6466027568812613,1171,1105,5619,0.5,138.70578286,-149.84438995138495,149.84438995138495,10.0
BO-MIP,0.02,-32.049806149833785,0.5322186250123195,2682.304709141274,2422.2050000000004,186.32346153846157,6.373976830373807,4.657607324972107,1394,1317,5184,0.5,138.70578286,-170.75558900983378,170.75558900983378,13.5
TO-MIP,0.02,-32.049806149833785,1.5281439170357771,2682.304709141274,2422.2050000000004,186.32346153846157,6.373976830373807,4.657607324972107,1394,1317,5184,0.5,138.70578286,-170.75558900983378,170.75558900983378,13.5
BO-MIP,0.02,-37.61041745689741,0.5300783750135452,2789.434903047091,2518.8900000000003,173.71655172413796,7.136816109422493,5.052065951837416,1454,1316,5125,0.5,138.70578286,-176.3162003168974,176.3162003168974,15.0
TO-MIP,0.02,-37.61041745689741,1.5387308340286836,2789.434903047091,2518.8900000000003,173.71655172413796,7.136816109422493,5.052065951837416,1454,1316,5125,0.5,138.70578286,-176.3162003168974,176.3162003168974,15.0
BO-MIP,0.02,-48.799651986675855,0.5445244580041617,2987.7506925207754,2697.8700000000003,138.3523076923077,9.600754545939317,6.390244961677818,1536,1411,4948,0.5,138.70578286,-187.50543484667585,187.50543484667585,20.0
TO-MIP,0.02,-48.799651986675855,1.4928500420064665,2987.7506925207754,2697.8700000000003,138.3523076923077,9.597747027142324,6.3913105179664464,1536,1411,4948,0.5,138.70578286,-187.50543484667585,187.50543484667585,20.0
BO-MIP,0.02,-53.358498984183,0.5672925840481184,3037.440443213296,2742.715,119.24847826086958,11.315612835279689,7.325461816564317,1556,1418,4921,0.5,138.70578286,-192.064281844183,192.064281844183,23.5
TO-MIP,0.02,-53.358498984183,1.5694193330127746,3037.440443213296,2742.715,119.24847826086958,11.320314083080042,7.325222468598391,1556,1418,4921,0.5,138.70578286,-192.064281844183,192.064281844183,23.5
BO-MIP,0.02,-57.028209847756074,0.6716716659720987,3069.5900277008304,2771.73,104.59358490566038,12.922147123126965,8.25789743136424,1561,1428,4906,0.5,138.70578286,-195.73399270775607,195.73399270775607,27.0
TO-MIP,0.02,-57.028209847756074,1.5279962089844048,3069.5900277008304,2771.73,104.59358490566038,12.922147123126965,8.25789743136424,1561,1428,4906,0.5,138.70578286,-195.73399270775607,195.73399270775607,27.0
BO-MIP,0.02,-60.599637068254765,0.5545115839922801,3116.8753462603872,2814.405,92.2755737704918,14.92607182850744,9.415669950924011,1589,1440,4866,0.5,138.70578286,-199.30541992825476,199.30541992825476,31.0
TO-MIP,0.02,-60.599637068254765,1.5744520419975743,3116.8753462603872,2814.405,92.2755737704918,14.92607182850744,9.415669950924011,1589,1440,4866,0.5,138.70578286,-199.30541992825476,199.30541992825476,31.0
BO-MIP,0.02,-63.569704461606705,0.5576496670255437,3148.415512465373,2842.87,82.40202898550724,16.95495587372687,10.574448911669858,1602,1452,4841,0.5,138.70578286,-202.2754873216067,202.2754873216067,35.0
TO-MIP,0.02,-63.569704461606705,1.4941814999911003,3148.415512465373,2842.87,82.40202898550724,16.96063496507226,10.578605779041077,1602,1452,4841,0.5,138.70578286,-202.2754873216067,202.2754873216067,35.0
BO-MIP,0.02,-65.3873191131303,0.7921750000095926,3167.739612188365,2860.3099999999995,76.27493333333332,18.609400495920653,11.487008927656808,1606,1455,4834,0.5,138.70578286,-204.0931019731303,204.0931019731303,38.0
TO-MIP,0.02,-65.3873191131303,1.5430276250117458,3167.739612188365,2860.3099999999995,76.27493333333332,18.604121340585507,11.48304846766359,1606,1455,4834,0.5,138.70578286,-204.0931019731303,204.0931019731303,38.0
BO-MIP,0.02,-66.726913737507,0.5563923339941539,3182.6094182825477,2873.7299999999996,71.84324999999998,19.969302911534157,12.225405182145474,1620,1457,4818,0.5,138.70578286,-205.432696597507,205.432696597507,40.5
TO-MIP,0.02,-66.72691373750703,1.5139405840309337,3182.6094182825477,2873.7299999999996,71.84324999999998,19.961191542686503,12.22518341416162,1620,1457,4818,0.5,138.70578286,-205.43269659750703,205.43269659750703,40.5
BO-MIP,0.02,-72.14695568875351,0.5657378750038333,3246.1495844875344,2931.0749999999985,54.78644859813081,27.161734122540388,16.023850075976313,1643,1482,4770,0.5,138.70578286,-210.8527385487535,210.8527385487535,54.0
TO-MIP,0.02,-72.14695568875351,1.545596582989674,3246.1495844875344,2931.0749999999985,54.78644859813081,27.167013277875533,16.02914009671485,1643,1482,4770,0.5,138.70578286,-210.8527385487535,210.8527385487535,54.0
BO-MIP,0.02,-79.64396471728537,0.5921002920367755,3268.747922437673,2951.47,36.66422360248447,42.43025849197459,23.463263350981183,1646,1482,4767,0.5,138.70578286,-218.34974757728537,218.34974757728537,81.0
TO-MIP,0.02,-79.64396471728531,1.4920529999653809,3268.747922437673,2951.4699999999993,36.66422360248446,42.527356956220316,23.440590129313154,1646,1482,4767,0.5,138.70578286,-218.3497475772853,218.3497475772853,81.0
